Id;CodeCIS;Denomination;FormePharma;EstCommercialisée;StatutBDM;NoUE_autorisation;Titulaire(s);surveillance;JJ_MM_AAAA;idProcédure;idStatutAdmin
25;60018088;LYRICA 300 mg, gélule;gélule;FAUX;;EU/1/04/279;UPJOHN (PAYS-BAS);FAUX;06/07/2004;5;1
26;60018444;ENTECAVIR TEVA 1 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;15/12/2017;4;1
27;60018896;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;13/08/2014;4;1
28;60019101;OPTICRON 2 POUR CENT, collyre;collyre;FAUX;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);FAUX;06/10/1983;2;1
29;60019329;DOXYLAMINE CRISTERS 15 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;CRISTERS;FAUX;22/12/2016;2;1
30;60019350;ARNIGEL, gel;gel;FAUX;;;BOIRON;FAUX;18/01/2002;2;1
31;60019813;LENALIDOMIDE ARROW 2,5 mg, gélule;gélule;FAUX;;;EUGIA PHARMA (MALTA) (MALTE);FAUX;29/09/2021;4;1
32;60019927;SOLIAN 100 mg, comprimé sécable;comprimé sécable;FAUX;;;SANOFI WINTHROP INDUSTRIE;FAUX;25/11/1998;2;1
33;60020616;FICUS CARICA macérat glycériné BOIRON, degré de dilution compris entre 4DH et 6DH;granules et  solution en gouttes en gouttes;FAUX;;;BOIRON;FAUX;18/03/2021;3;1
34;60021127;SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;28/03/1997;2;1
35;60021216;PERSANTINE 75 mg, comprimé enrobé;comprimé enrobé;FAUX;;;GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE;FAUX;25/04/1988;2;1
36;60021312;CLARELUX 500 microgrammes/g, mousse pour application cutanée en flacon pressurisé;mousse pour application;FAUX;;;PIERRE FABRE MEDICAMENT;FAUX;17/04/2012;1;1
37;60021771;FIBROVEIN 3 %, solution injectable;solution injectable;FAUX;;;STD PHARMACEUTICAL (IRELAND) (IRLANDE);FAUX;13/12/2013;4;1
38;60021928;SILODOSINE VIATRIS 8 mg, gélule;gélule;FAUX;;;VIATRIS SANTE;FAUX;26/02/2019;4;1
39;60022275;EPINITRIL 5 mg/24 heures, dispositif transdermique;dispositif;FAUX;;;BOUCHARA-RECORDATI;FAUX;21/05/2002;1;1
40;60023270;DORZOLAMIDE CRISTERS 20 mg/ml, collyre en solution;collyre en solution;FAUX;;;CRISTERS;FAUX;17/01/2019;2;1
41;60025054;ADEMPAS 1,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/13/907;BAYER AG (ALLEMAGNE);FAUX;27/03/2014;5;1
42;60025314;MACROGOL 3350 MAYOLY SPINDLER 8,5 g, poudre pour solution buvable en sachet;poudre pour solution buvable;VRAI;Warning disponibilité;;LABORATOIRES MAYOLY SPINDLER;FAUX;19/06/2017;4;1
43;60025403;EFFERALGAN 1000 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;UPSA;FAUX;12/08/2004;2;1
44;60026494;KALOBA 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;WILLMAR SCHWABE;FAUX;03/04/2015;6;1
45;60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;comprimé sécable;FAUX;;;TEVA SANTE;FAUX;26/08/2005;2;1
46;60027685;ELMIRON 100 mg, gélule;gélule;FAUX;;EU/1/17/1189;BENE - ARZNEIMITTEL (ALLEMAGNE);FAUX;02/06/2017;5;1
47;60028050;GABAPENTINE RANBAXY 400 mg, gélule;gélule;VRAI;Warning disponibilité;;RANBAXY PHARMACIE GENERIQUES;FAUX;21/11/2007;2;2
48;60028495;DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE, comprimé;comprimé et  comprimé;FAUX;;;OPELLA HEALTHCARE FRANCE;FAUX;15/12/2005;2;1
49;60028552;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule;solution injectable;FAUX;;;ASPEN PHARMA TRADING (IRLANDE);FAUX;21/05/1986;2;1
50;60029394;TADALAFIL EG 10 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;04/07/2017;4;1
51;60030699;THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;FAUX;;;THERADIAL;FAUX;02/07/2019;1;1
52;60030980;MEDIFLOR N°7 CONTRE LA CONSTIPATION PASSAGERE, mélange de plantes pour tisane en sachet-dose;mélange de plantes pour tisane;VRAI;Warning disponibilité;;LABORATOIRE VICKS;FAUX;30/09/1992;2;1
53;60031071;ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible;comprimé orodispersible;FAUX;;;SANDOZ;FAUX;03/03/2016;4;1
54;60033389;BLEOMYCINE ACCORD 15000 UI, poudre pour solution injectable / pour perfusion;poudre pour solution injectable pour perfusion;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;07/12/2017;4;1
55;60033510;VANCOMYCINE VIATRIS 125 mg, poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;FAUX;;;VIATRIS SANTE;FAUX;31/07/1996;2;1
56;60034085;BUCCOLAM 10 mg, solution buccale;solution;FAUX;;EU/1/11/709;LABORATORIOS LESVI (ESPAGNE);FAUX;05/09/2011;5;1
57;60034644;SYNACTHENE RETARD 1 mg/1 ml, suspension injectable I.M.;suspension injectable;FAUX;;;ALFASIGMA (ITALIE);FAUX;04/08/1998;2;1
58;60034936;KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose;gel;FAUX;;;BIOGARAN;FAUX;14/02/2008;2;1
59;60035461;LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose;pastille;FAUX;;;OPELLA HEALTHCARE FRANCE;FAUX;21/06/2013;4;1
60;60035714;SIMPONI 50 mg, solution injectable en seringue préremplie;solution injectable;FAUX;;EU/1/09/546;JANSSEN BIOLOGICS (PAYS-BAS);FAUX;01/10/2009;5;1
61;60035924;OXOMEMAZINE VIATRIS 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique;solution buvable;FAUX;;;VIATRIS SANTE;FAUX;22/07/2010;2;1
62;60037327;PROTAMINE CHOAY 1000 U.A.H./ml, solution injectable;solution injectable;FAUX;;;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;03/02/1998;2;1
63;60037380;AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;KRKA (SLOVENIE);FAUX;27/11/2018;4;1
64;60038468;LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer;comprimé dispersible ou à croquer;FAUX;;;ARROW GENERIQUES;FAUX;09/02/2012;1;1
65;60040145;SENOPHILE, pommade;pommade;FAUX;;;B BRAUN MEDICAL;FAUX;13/02/1996;2;1
66;60040469;MONOSEPT 0,25 POUR MILLE (0,1 mg/0,4 ml), collyre en solution en récipient unidose;collyre;FAUX;;;HORUS PHARMA;FAUX;24/07/1996;2;1
67;60040572;VIALEBEX 200 mg/mL NOUVEAUX-NES ET NOURRISSONS, solution pour perfusion;solution pour perfusion;FAUX;;;LFB-BIOMEDICAMENTS;FAUX;22/10/1996;2;1
68;60041165;GLONOINUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;FAUX;;;WELEDA;FAUX;17/06/2009;3;1
69;60041560;TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;FAUX;;;CRISTERS;FAUX;16/08/2010;2;1
70;60042395;CACTUS GRANDIFLORUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;06/04/2011;3;1
71;60043038;ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé;gaz;FAUX;;;AIR PRODUCTS;FAUX;17/05/2017;1;1
72;60043077;OXCARBAZEPINE VIATRIS 300 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;23/04/2007;4;1
73;60044161;OCIMUM BASILICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;11/05/2020;3;1
74;60044492;DONEPEZIL CRISTERS 5 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;CRISTERS;FAUX;20/07/2012;2;1
75;60044784;LEVETIRACETAM VIATRIS 250 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;27/05/2011;2;1
76;60044841;TILLHEPO 250 mg, gélule;gélule;FAUX;;;TILLOTTS PHARMA (ALLEMAGNE);FAUX;28/05/2019;4;1
77;60044987;CAPECITABINE VIATRIS 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;06/09/2013;4;1
78;60045217;ZIMINO 2,5 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;;ORION CORPORATION;FAUX;20/10/2015;4;1
79;60045288;W270;poudre;FAUX;;;WELEDA;FAUX;09/07/2020;3;1
80;60046529;PHOLCODINE BIOGARAN 6,55 mg/5 mL, sirop;sirop;VRAI;Alerte;;BIOGARAN;FAUX;23/04/2020;2;3
81;60047143;VECTARION INJECTABLE, lyophilisat et solution pour préparation injectable;lyophilisat et  solution pour préparation injectable;VRAI;Warning disponibilité;;LES LABORATOIRES SERVIER;FAUX;25/07/1977;2;1
82;60047182;CONCERTA LP 54 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;JANSSEN CILAG;FAUX;28/03/2003;1;1
83;60047225;DARZALEX 1800 mg, solution injectable;solution injectable;FAUX;;EU/1/16/1101;JANSSEN CILAG INTERNATIONAL NV;FAUX;03/06/2020;5;1
84;60047271;XALATAN 50 microgrammes/mL, collyre en solution;collyre en solution;FAUX;;;VIATRIS UP;FAUX;24/07/1997;1;1
85;60048672;BETAHISTINE TEVA 24 mg, comprimé;comprimé;FAUX;;;TEVA SANTE;FAUX;14/01/2008;2;1
86;60049895;RAMIPRIL ALMUS 10 mg, comprimé sécable;comprimé sécable;FAUX;;;BIOGARAN;FAUX;08/02/2006;2;1
87;60051024;ARUM TRIPHYLLUM COMPOSE BOIRON;granules;FAUX;;;BOIRON;FAUX;07/08/2020;3;1
88;60051234;AVODART 0,5 mg, capsule molle;capsule molle;FAUX;;;GLAXOSMITHKLINE;FAUX;27/03/2003;1;1
89;60052254;AMMONAPS 940 mg/g, granulés;granulés;VRAI;Warning disponibilité;EU/1/99/120;IMMEDICA PHARMA (SUEDE);FAUX;08/12/1999;5;1
90;60053064;OLIGOSTIM COBALT, comprimé sublingual;comprimé;FAUX;;;GRANIONS;FAUX;13/08/1991;2;1
91;60054077;ENANTONE LP 1,88 mg, poudre et solvant pour suspension injectable (S.C.) à libération prolongée en seringue pré-remplie;poudre et  solvant pour suspension injectable à libération prolongée;FAUX;;;TAKEDA FRANCE;FAUX;05/08/2021;2;1
92;60054312;SILODOSINE SANDOZ 4 mg, gélule;gélule;FAUX;;;SANDOZ;FAUX;28/05/2019;4;1
93;60054376;DACARBAZINE LIPOMED 1000 mg, poudre pour solution pour perfusion;poudre pour solution pour perfusion;FAUX;;;LIPOMED (ALLEMAGNE);FAUX;20/03/2018;4;1
94;60056815;DIOSMINE SUN 600 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;SUN PHARMA FRANCE;FAUX;16/02/2001;2;1
95;60058008;EXFORGE 10 mg/160 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/06/370;NOVARTIS EUROPHARM (IRLANDE);FAUX;17/01/2007;5;1
96;60058378;SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable;comprimé sécable;FAUX;;;ZENTIVA FRANCE;FAUX;16/01/1996;2;1
97;60058517;GABITRIL 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA PHARMA (PAYS-BAS);FAUX;14/06/1996;1;1
98;60058620;LYNPARZA 150 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/14/959;ASTRAZENECA AB;FAUX;08/05/2018;5;1
99;60059081;RITALINE 10 mg, comprimé sécable;comprimé sécable;FAUX;;;INFECTOPHARM ARZNEIMITTEL UND CONSILIUM (ALLEMAGNE);FAUX;31/07/1995;2;1
100;60061171;TETRALYSAL 150 mg, gélule;gélule;FAUX;;;GALDERMA INTERNATIONAL;FAUX;17/07/1992;2;1
101;60061449;OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE ANTILLES GUYANE, gaz pour inhalation, pour évaporateur fixe;gaz pour inhalation;FAUX;;;AIR LIQUIDE SANTE INTERNATIONAL;FAUX;14/11/2006;2;1
102;60061602;PREGABALINE TEVA SANTE 200 mg, gélule;gélule;FAUX;;;TEVA SANTE;FAUX;14/09/2015;4;1
103;60061709;INEGY 10 mg/20 mg, comprimé;comprimé;FAUX;;;BB FARMA (ITALIE);FAUX;30/04/2019;7;1
104;60063973;ARTERE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;07/08/2020;3;1
105;60064527;DAFLON 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;DIFARMED (ESPAGNE);FAUX;13/08/2015;7;1
106;60064872;GALANTAMINE ARROW LP 8 mg, gélule à libération prolongée;gélule à libération prolongée;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;13/01/2012;2;1
107;60065198;CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;22/12/2008;2;1
108;60065294;PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);FAUX;;;ZYDUS FRANCE;FAUX;30/11/2012;2;1
109;60065390;FESOTERODINE ARROW LP 8 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;ARROW GENERIQUES;FAUX;10/06/2022;4;1
110;60067562;ZADITEN 1 mg/5 ml, solution buvable;solution buvable;FAUX;;;ALFASIGMA (ITALIE);FAUX;06/04/1981;2;1
111;60068002;ESCITALOPRAM VIATRIS 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;VIATRIS SANTE;FAUX;22/11/2016;4;1
112;60068034;MILNACIPRAN EG 25 mg, gélule;gélule;FAUX;;;DOUBLE-E PHARMA (IRLANDE);FAUX;16/08/2018;4;1
113;60068251;COVERAM 10 mg/10 mg, comprimé;comprimé;VRAI;Warning disponibilité;;MEDIWIN;FAUX;04/04/2017;7;2
114;60068333;COVERAM 5 mg/5 mg, comprimé;comprimé;VRAI;Warning disponibilité;;MEDIWIN;FAUX;09/01/2017;7;2
115;60069307;NITISINONE DIPHARMA 20 mg, gélule;gélule;FAUX;;;DIPHARMA ARZNEIMITTEL (ALLEMAGNE);FAUX;04/06/2020;4;1
116;60069339;MONTELUKAST TEVA 4 mg, granulés;granulés;FAUX;;;TEVA SANTE;FAUX;11/01/2012;4;1
117;60070359;MYCOHYDRALIN 500 mg, capsule vaginale;capsule;FAUX;;;BAYER HEALTHCARE;FAUX;31/05/2018;2;1
118;60070665;MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie;solution injectable;FAUX;;EU/1/07/400;ROCHE REGISTRATION (ALLEMAGNE);FAUX;20/07/2007;5;1
119;60071190;SIMVASTATINE SANDOZ 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;SANDOZ;FAUX;07/03/2007;1;1
120;60071233;DARUNAVIR REDDY PHARMA 600 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;REDDY PHARMA;FAUX;22/08/2018;4;2
121;60071379;OROMONE 2 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS MEDICAL;FAUX;09/09/1992;2;1
122;60071952;EUPANTOL 40 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);FAUX;;;TAKEDA FRANCE;FAUX;08/02/1995;1;1
123;60072050;THUYA OCCIDENTALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;15/07/2013;3;1
124;60073451;ETIOVEN 30 mg, comprimé;comprimé;FAUX;;;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;14/11/1996;2;1
125;60073608;LEVOCETIRIZINE KRKA 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;KRKA (SLOVENIE);FAUX;04/04/2012;4;1
126;60073907;DONEPEZIL MYLAN 10 mg, comprimé orodispersible;comprimé orodispersible;VRAI;Warning disponibilité;;MYLAN SAS;FAUX;07/09/2010;4;2
127;60073914;IBUPROFENE BIOGARAN CONSEIL 400 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;BIOGARAN;FAUX;10/07/2006;2;1
128;60073960;INTRAROSA 6,5 mg, ovule;ovule;FAUX;;EU/1/17/1255;ENDOCEUTICS (BELGIQUE);FAUX;08/01/2018;5;1
129;60074432;PERMIXON 160 mg, gélule;gélule;FAUX;;;DIFARMED (ESPAGNE);FAUX;07/09/2015;7;1
130;60074795;OCTAPLASLG, solution pour perfusion;solution pour perfusion;FAUX;;;OCTAPHARMA FRANCE;FAUX;02/02/2016;1;1
131;60074934;MYAMBUTOL 1000 mg/10 ml, solution injectable (I.M.-I.V.) en ampoule;solution injectable;FAUX;;;EFISCIENS (MALTE);FAUX;30/09/1994;2;1
132;60075064;BIOXYOL, pâte pour application cutanée;pâte pour application;FAUX;;;H2 PHARMA;FAUX;08/12/1997;2;1
133;60075192;VENLAFAXINE ARROW LP 37,5 mg, gélule à libération prolongée;gélule à libération prolongée;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;08/10/2008;2;1
134;60075370;FENTANYL ARROW 600 microgrammes, comprimé buccogingival;comprimé;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;05/09/2019;4;1
135;60075452;PREGABALINE BIOGARAN 100 mg, gélule;gélule;FAUX;;;BIOGARAN;FAUX;02/12/2015;2;1
136;60076860;LENALIDOMIDE STRAGEN 20 mg, gélule;gélule;FAUX;;;STRAGEN-FRANCE;FAUX;11/05/2020;4;1
137;60077460;ASCLEPIAS TUBEROSA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;13/08/2013;3;1
138;60077574;CARDENSIEL 2,5 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;MERCK SANTE;FAUX;04/01/2000;1;1
139;60078078;LEVONORGESTREL EG 1,5 mg, comprimé;comprimé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;07/03/2014;2;1
140;60078765;QUETIAPINE ACCORD HEALTHCARE LP 400 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;04/08/2016;2;1
141;60079721;PERMIXON 160 mg, gélule;gélule;FAUX;;;PHARMA LAB;FAUX;12/04/2016;7;1
142;60080218;FIVASA 500 mg, suppositoire;suppositoire;FAUX;;;TILLOTTS PHARMA (ALLEMAGNE);FAUX;06/08/2001;2;1
143;60080232;VENOFER 20 mg/mL, solution injectable (IV);solution pour perfusion;FAUX;;;VIFOR FRANCE;FAUX;10/12/1998;2;1
144;60082023;FERVEXRHUME, comprimé pelliculé;comprimé pelliculé;FAUX;;;UPSA;FAUX;25/04/2018;1;1
145;60082062;COPAXONE 20 mg/ml, solution injectable en seringue préremplie;solution injectable;FAUX;;;TEVA SANTE;FAUX;03/07/2017;1;1
146;60082233;LATAZED 50 microgrammes/mL, collyre en solution;collyre en solution;FAUX;;;HORUS PHARMA;FAUX;06/05/2019;4;1
147;60082450;IZIXATE 12,5 mg/0,25 mL, solution injectable en stylo injecteur prérempli;solution injectable;FAUX;;;ACCORD HEALTHCARE FRANCE;FAUX;28/12/2021;1;1
148;60082895;LAPIS ALBUS BOIRON, degré de dilution compris entre 3CH à 30CH et 5DH à 60 DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;04/08/2017;3;1
149;60083132;OLANZAPINE ARROW GENERIQUES 10 mg, comprimé orodispersible;comprimé orodispersible;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;05/06/2009;2;2
150;60084049;GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;;NOVO NORDISK;FAUX;04/10/1993;1;1
151;60085553;AMBRISENTAN STRAGEN 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;STRAGEN-FRANCE;FAUX;04/03/2020;2;1
152;60088834;DENTINEA, solution buvable en récipient unidose;solution buvable;FAUX;;;LG HOMEO;FAUX;23/12/2019;2;1
153;60089217;ZALTRAP 25 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;EU/1/12/814;SANOFI-AVENTIS GROUPE;FAUX;01/02/2013;5;1
154;60091086;PARACETAMOL TEVA 500 mg, gélule;gélule;FAUX;;;TEVA SANTE;FAUX;03/01/2012;2;1
155;60092590;SINEMET 250 mg/25 mg, comprimé sécable;comprimé sécable;FAUX;;;ORGANON FRANCE;FAUX;26/04/1989;2;1
156;60092811;DECAPEPTYL L.P. 11,25 mg, poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois;poudre et  solvant pour suspension injectable à libération prolongée;FAUX;;;BB FARMA (ITALIE);FAUX;10/02/2020;7;1
157;60093639;ROPINIROLE BIOGARAN LP 8 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;FAUX;;;BIOGARAN;FAUX;26/07/2013;2;1
158;60094125;TRANDOLAPRIL VIATRIS 0,5 mg, gélule;gélule;FAUX;;;VIATRIS SANTE;FAUX;28/03/2008;4;1
159;60095056;HEXTRIL 0,1 POUR CENT, pâte dentifrice;pâte dentifrice;VRAI;Warning disponibilité;;JOHNSON & JOHNSON SANTE BEAUTE FRANCE;FAUX;22/04/1996;2;1
160;60095095;IMODIUMLIQUICAPS 2 mg, capsule molle;capsule molle;FAUX;;;JOHNSON & JOHNSON SANTE BEAUTE FRANCE;FAUX;15/11/2011;2;1
161;60095526;FOSINOPRIL ZENTIVA 10 mg, comprimé sécable;comprimé sécable;FAUX;;;ZENTIVA FRANCE;FAUX;12/09/2008;2;1
162;60095729;MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP, comprimé enrobé;comprimé enrobé;FAUX;;;OPELLA HEALTHCARE FRANCE;FAUX;27/12/1996;2;1
163;60097203;PRAVASTATINE ARROW 10 mg, comprimé sécable;comprimé sécable;FAUX;;;ARROW GENERIQUES;FAUX;18/12/2012;4;1
164;60097833;DERMOVAL, gel;gel;FAUX;;;GLAXOSMITHKLINE;FAUX;10/11/1982;2;1
